Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_50_step,explored_90_step,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,harvested_50_step,harvested_90_step,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,percentage_knowledge_harvested,size,step_limit,steps,total_initial_knowledge,use_distance,weighted_50_step,weighted_90_step
400.0,0,10.242105263157894,0.4283360587063716,0.4410279745482697,2.082462882780848,0,0.1,5,40,145,0.9975,0.9984585824636374,"{'prop_random': 5, 'seed': 20, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,104,300,0.1,435.25,206.2221547477956,20,2,0.3294328394091678,20,400,400,255.50673154287338,0,40,139
400.0,0,9.105263157894736,0.42363054316056564,0.37469313995100884,1.7704206583595983,0,0.1,5,42,162,0.9925,0.9921213807400208,"{'prop_random': 5, 'seed': 21, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,99,273,0.1,439.0,213.03648472615595,20,2,0.3391250844532464,20,400,400,256.40588449939185,0,34,159
400.0,0,9.326315789473686,0.3937073917651748,0.5004147927417181,1.3089686884778218,0,0.1,5,42,130,0.995,0.9978640110663675,"{'prop_random': 5, 'seed': 22, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,110,264,0.1,433.8,233.70386792427863,20,2,0.37722335507044896,20,400,400,252.8722905527141,0,46,146
400.0,0,9.947368421052632,0.3874570155307845,0.37270684441221485,1.6002099943705126,0,0.1,5,44,182,0.98,0.9917585406736737,"{'prop_random': 5, 'seed': 23, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,85,238,0.1,434.45,223.84026305282464,20,2,0.3708739185134866,20,400,400,246.34617888693614,0,39,160
400.0,0,10.021052631578947,0.4085466096490588,0.36674181364483716,1.53298484427751,0,0.1,5,45,172,1.0,1.0000000000000007,"{'prop_random': 5, 'seed': 24, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,99,250,0.1,437.95,220.57323510666615,20,2,0.35521961733748614,20,400,400,253.44853573989533,0,43,164
400.0,0,9.942105263157895,0.4086861679723738,0.39711698575246884,1.5777835532987203,0,0.1,5,43,233,0.9625,0.9756559593402017,"{'prop_random': 5, 'seed': 25, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,94,269,0.1,438.5,214.05225495483606,20,2,0.3482989750393804,20,400,400,250.84273451745423,0,32,189
400.0,0,10.142105263157895,0.41162603417896404,0.5000075314625951,1.25778046820734,0,0.1,5,39,176,0.995,0.9975808384104233,"{'prop_random': 5, 'seed': 26, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,107,264,0.1,435.45,231.1955104301697,20,2,0.36432321031964804,20,400,400,259.01592813287954,0,47,170
400.0,0,10.252631578947367,0.4029696133878092,0.40672846983134503,1.5622281461046261,0,0.1,5,47,171,0.9925,0.9956066965792297,"{'prop_random': 5, 'seed': 27, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,100,256,0.1,438.55,226.08891065170087,20,2,0.36407282890501563,20,400,400,253.46903337622615,0,46,136
400.0,0,10.115789473684211,0.4098643080594573,0.44070691402637446,1.6022771516657774,0,0.1,5,40,200,0.9825,0.9828606491030185,"{'prop_random': 5, 'seed': 28, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,84,256,0.1,435.2,229.59658659695964,20,2,0.3637095240517031,20,400,400,257.6586157123381,0,35,191
400.0,0,10.426315789473682,0.4047108005211185,0.3693729964232524,1.4629033565380554,0,0.1,5,48,186,0.99,0.9923225941093171,"{'prop_random': 5, 'seed': 29, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,81,246,0.1,439.6,233.71234544436788,20,2,0.3707783894054001,20,400,400,257.27711426737307,0,36,159
