Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,size,step_limit,steps,stored_percentage,totalInitialKnowledge,total_initial_knowledge,use_distance
400.0,0,9.98421052631579,0.3219808068764195,0.32087300004513464,0.913021968328547,0,0.1,5,0.9875,0.9896283106020619,"{'seed': 0, 'initCellFunc': 'randominit'}",0.02,0.1,436.45,168.77431494757644,20,2,20,400,400,"[('explored_percentage', [[0.5, 42], [0.9, 189]]), ('explored_weighted_by_initial_knowledge', [[0.5, 39], [0.9, 170]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",197.67979823937438,197.67979823937438,0
400.0,0,10.047368421052633,0.3309086903685827,0.3331757439103783,0.8675263970487982,0,0.1,5,1.0,0.9999999999999996,"{'seed': 1, 'initCellFunc': 'randominit'}",0.02,0.1,434.65,175.7631345516354,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 176]]), ('explored_weighted_by_initial_knowledge', [[0.5, 39], [0.9, 163]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",204.10353106646815,204.10353106646815,0
400.0,0,10.242105263157894,0.335753721450575,0.31304087717965895,0.941367065268043,0,0.1,5,0.995,0.996902664809551,"{'seed': 2, 'initCellFunc': 'randominit'}",0.02,0.1,436.95,172.07165084808167,20,2,20,400,400,"[('explored_percentage', [[0.5, 42], [0.9, 154]]), ('explored_weighted_by_initial_knowledge', [[0.5, 39], [0.9, 146]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",204.53481545699807,204.53481545699807,0
400.0,0,10.231578947368419,0.3218036285912559,0.30654620368946006,0.8710988661206939,0,0.1,5,0.98,0.9815091484124151,"{'seed': 3, 'initCellFunc': 'randominit'}",0.02,0.1,437.9,164.17330602498572,20,2,20,400,400,"[('explored_percentage', [[0.5, 48], [0.9, 203]]), ('explored_weighted_by_initial_knowledge', [[0.5, 49], [0.9, 213]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",195.7309640997617,195.7309640997617,0
400.0,0,10.010526315789473,0.33305830187969193,0.2898411419585037,0.9274947441288015,0,0.1,5,0.985,0.9867683649364516,"{'seed': 4, 'initCellFunc': 'randominit'}",0.02,0.1,435.3,166.70451469688865,20,2,20,400,400,"[('explored_percentage', [[0.5, 45], [0.9, 154]]), ('explored_weighted_by_initial_knowledge', [[0.5, 42], [0.9, 143]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",201.26597981183122,201.26597981183122,0
400.0,0,9.905263157894739,0.32926435016605377,0.3440510150996432,0.954572446693016,0,0.1,5,0.99,0.9941870565028815,"{'seed': 5, 'initCellFunc': 'randominit'}",0.02,0.1,439.85,167.0238037072056,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 183]]), ('explored_weighted_by_initial_knowledge', [[0.5, 43], [0.9, 183]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",199.8787211714033,199.8787211714033,0
400.0,0,10.22105263157895,0.3324906224353475,0.38112913478308974,0.847471243650149,0,0.1,5,0.9925,0.9934880972145976,"{'seed': 6, 'initCellFunc': 'randominit'}",0.02,0.1,439.35,163.95778280570607,20,2,20,400,400,"[('explored_percentage', [[0.5, 41], [0.9, 152]]), ('explored_weighted_by_initial_knowledge', [[0.5, 39], [0.9, 146]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",199.91779297646804,199.91779297646804,0
400.0,0,9.884210526315789,0.32287606885661113,0.2763663167401472,0.8595438140167113,0,0.1,5,0.99,0.9893292177365806,"{'seed': 7, 'initCellFunc': 'randominit'}",0.02,0.1,435.75,164.95723502377902,20,2,20,400,400,"[('explored_percentage', [[0.5, 42], [0.9, 138]]), ('explored_weighted_by_initial_knowledge', [[0.5, 43], [0.9, 130]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",196.47991122581973,196.47991122581973,0
400.0,0,10.157894736842106,0.330548317848738,0.37797087634702076,0.9397097068248565,0,0.1,5,0.98,0.9855454390637148,"{'seed': 8, 'initCellFunc': 'randominit'}",0.02,0.1,437.05,165.9812426187277,20,2,20,400,400,"[('explored_percentage', [[0.5, 36], [0.9, 277]]), ('explored_weighted_by_initial_knowledge', [[0.5, 32], [0.9, 245]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",199.96677310632305,199.96677310632305,0
400.0,0,10.363157894736842,0.3272709159401181,0.3243780294693137,0.841228673933224,0,0.1,5,0.9925,0.9961591915243596,"{'seed': 9, 'initCellFunc': 'randominit'}",0.02,0.1,434.85,170.29945674211552,20,2,20,400,400,"[('explored_percentage', [[0.5, 37], [0.9, 185]]), ('explored_weighted_by_initial_knowledge', [[0.5, 36], [0.9, 162]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",200.41834871976795,200.41834871976795,0
